id;guid;force_id;practitioner_license;gender
1;Circles Illinois;deposit;Handmade Greenland;U
2;Locks navigate;supply-chains;Sudan;C
3;bus Account Money;methodical Car;Loop calculate;N
4;Metal optical;payment Bacon;wireless Somali;C
5;interface;Beauty;Planner Berkshire generating;N
6;Uruguay efficient;groupware;Dynamic Cliffs;Male
7;Oklahoma infrastructures;cultivate;Grocery reboot;A
8;panel drive bluetooth;Ball Plastic North;Steel Administrator;Unknown
9;fuchsia;reciprocal evolve;index parsing microchip;U
10;granular;Savings purple;override real-time;U
